"","ID","key_press","trial_type","trial_index","control_level","correct","confidence_level","test_part","staircase","reverse","staircaseA","staircaseB","average_thre"
"1",87,65,"dot-motion",23,0.025,1,4,"stimulus",0,NA,0,0,0
"2",87,66,"dot-motion",25,0.02,1,4,"stimulus",0,NA,0,0,0
"3",87,65,"dot-motion",27,0.025,1,4,"stimulus",1,NA,0,0,0
"4",37,65,"dot-motion",23,0.025,1,4,"stimulus",0,NA,0,0,0
"5",87,66,"dot-motion",29,0.02,1,4,"stimulus",1,NA,0,0,0
"6",37,65,"dot-motion",25,0.02,1,4,"stimulus",0,NA,0,0,0
"7",87,66,"dot-motion",31,0.015,1,4,"stimulus",0,NA,0,0,0
"8",38,66,"dot-motion",23,0.025,1,4,"stimulus",0,NA,0,0,0
"9",30,65,"dot-motion",23,0.025,1,4,"stimulus",1,NA,0,0,0
"10",37,65,"dot-motion",27,0.015,1,3,"stimulus",0,NA,0,0,0
"11",87,66,"dot-motion",33,0.015,1,4,"stimulus",1,NA,0,0,0
"12",30,66,"dot-motion",25,0.025,1,4,"stimulus",0,NA,0,0,0
"13",38,66,"dot-motion",25,0.02,1,3,"stimulus",0,NA,0,0,0
"14",2,65,"dot-motion",23,0.025,1,4,"stimulus",1,NA,0,0,0
"15",37,65,"dot-motion",29,0.025,1,4,"stimulus",1,NA,0,0,0
"16",87,66,"dot-motion",35,0.01,1,4,"stimulus",1,NA,0,0,0
"17",30,65,"dot-motion",27,0.02,1,4,"stimulus",0,NA,0,0,0
"18",38,66,"dot-motion",27,0.015,1,1,"stimulus",0,NA,0,0,0
"19",37,65,"dot-motion",31,0.02,1,3,"stimulus",1,NA,0,0,0
"20",2,65,"dot-motion",25,0.02,1,2,"stimulus",1,NA,0,0,0
"21",87,65,"dot-motion",37,0.005,1,4,"stimulus",1,NA,0,0,0
"22",30,66,"dot-motion",29,0.25,1,4,"catch trial",0,NA,0,0,0
"23",38,66,"dot-motion",29,0.025,1,2,"stimulus",1,NA,0,0,0
"24",2,66,"dot-motion",27,0.015,1,2,"stimulus",1,NA,0,0,0
"25",37,65,"dot-motion",33,0.015,1,2,"stimulus",1,NA,0,0,0
"26",87,65,"dot-motion",39,0.01,1,4,"stimulus",0,NA,0,0,0
